0,f,90,0,,,,,,,,
0,f,100,0,,,,,,,,
0,f,120,0,,,,,,,,
0,f,140,0,,,,,,,,
0,f,160,0,,,,,,,,
0,f,180,0,,,,,,,,
0,f,200,0,,,,,,,,
0,f,220,0,,,,,,,,
0,f,240,0,,,,,,,,
0,m,100,0,,,,,,,,
0,m,120,0,,,,,,,,
0,m,140,0,,,,,,,,
0,m,160,0,,,,,,,,
0,m,180,0,,,,,,,,
0,m,200,0,,,,,,,,
0,m,220,0,,,,,,,,
0,m,240,0,,,,,,,,
1,f,90,0.05,,,,,,,,
1,f,100,0.05,,,,,,,,
1,f,120,0.04,,,,,,,,
1,f,140,0.03,,,,,,,,
1,f,160,0.03,,,,,,,,
1,f,180,0.03,,,,,,,,
1,f,200,0.02,,,,,,,,
1,f,220,0.02,,,,,,,,
1,f,240,0.02,,,,,,,,
1,m,100,0.04,,,,,,,,
1,m,120,0.03,,,,,,,,
1,m,140,0.03,,,,,,,,
1,m,160,0.02,,,,,,,,
1,m,180,0.02,,,,,,,,
1,m,200,0.02,,,,,,,,
1,m,220,0.02,,,,,,,,
1,m,240,0.02,,,,,,,,
2,f,90,0.09,,,,,,,,
2,f,100,0.08,,,,,,,,
2,f,120,0.07,,,,,,,,
2,f,140,0.06,,,,,,,,
2,f,160,0.05,,,,,,,,
2,f,180,0.05,,,,,,,,
2,f,200,0.04,,,,,,,,
2,f,220,0.04,,,,,,,,
2,f,240,0.04,,,,,,,,
2,m,100,0.08,,,,,,,,
2,m,120,0.06,,,,,,,,
2,m,140,0.05,,,,,,,,
2,m,160,0.05,,,,,,,,
2,m,180,0.04,,,,,,,,
2,m,200,0.04,,,,,,,,
2,m,220,0.03,,,,,,,,
2,m,240,0.03,,,,,,,,
3,f,90,0.15,,,,,,,,
3,f,100,0.14,,,,,,,,
3,f,120,0.11,,,,,,,,
3,f,140,0.1,,,,,,,,
3,f,160,0.09,,,,,,,,
3,f,180,0.08,,,,,,,,
3,f,200,0.07,,,,,,,,
3,f,220,0.06,,,,,,,,
3,f,240,0.06,,,,,,,,
3,m,100,0.11,,,,,,,,
3,m,120,0.09,,,,,,,,
3,m,140,0.08,,,,,,,,
3,m,160,0.07,,,,,,,,
3,m,180,0.06,,,,,,,,
3,m,200,0.06,,,,,,,,
3,m,220,0.05,,,,,,,,
3,m,240,0.05,,,,,,,,
4,f,90,0.2,,,,,,,,
4,f,100,0.18,,,,,,,,
4,f,120,0.15,,,,,,,,
4,f,140,0.13,,,,,,,,
